Population,Std_A1,Std_A2,Std_A3,Std_A4,Std_A5,Std_A6,Mean_A1,Mean_A2,Mean_A3,Mean_A4,Mean_A5,Mean_A6,meanAbDev_A1,meanAbDev_A2,meanAbDev_A3,meanAbDev_A4,meanAbDev_A5,meanAbDev_A6,meadAbDev_A1,meadAbDev_A2,meadAbDev_A3,meadAbDev_A4,meadAbDev_A5,meadAbDev_A6,mead_A1,mead_A2,mead_A3,mead_A4,mead_A5,mead_A6,var_A1,var_A2,var_A3,var_A4,var_A5,var_A6
Two,0.4379715574,1.2253619572,1.8273126842,2.342358811,2.314798398,1.8219516929,2.8240176468,7.8777232148,11.8435140397,15.3514206825,15.2745975276,12.1368945365,0.3250474718,0.9104392036,1.3446149848,1.7162948181,1.6965228839,1.3361398253,0.3500619329,0.9524634129,1.5047801616,2.0972804317,2.0833187408,1.6220340845,2.8091489232,7.8259534163,11.8115269629,15.4087021538,15.3390069865,12.1730139695,0.1918190851,1.5015119261,3.3390716459,5.4866447994,5.3582916235,3.3195079714
Two,0.4033048663,1.1213213599,1.6887656837,2.2038253831,2.1956447823,1.7343549314,2.5928077491,7.2083834547,10.8942924572,14.2671288792,14.248871327,11.3162835427,0.2929241696,0.8147680673,1.2262814679,1.5964965528,1.5887082462,1.2561381124,0.0120201369,0.0352497074,0.042013126,0.0513912984,0.0544509602,0.04765619,2.4142103744,6.7126928552,10.1431038398,13.2876103314,13.2735169216,10.5419471409,0.1626548151,1.2573615922,2.8519295343,4.8568463191,4.8208560101,3.0079870281
Two,0.3661609491,1.0152630475,1.5289023133,1.9980658928,1.991893545,1.5725600562,2.5787101561,7.1596031696,10.8204214635,14.1812128644,14.1819870252,11.2848865355,0.2682001996,0.743676604,1.1141895696,1.4408039006,1.4290203243,1.1273419348,0.0147651164,0.0343763993,0.0498703638,0.0602319567,0.0647922167,0.0479575946,2.4076862973,6.6826413474,10.1023558521,13.2577690316,13.2732443931,10.5675712258,0.1340738406,1.0307590556,2.3375422836,3.9922673121,3.9676398947,2.4729451302
Two,0.399613045,1.109564439,1.6758217927,2.1918339687,2.1827031866,1.7216341464,2.6127557681,7.242448732,10.9702270032,14.377330436,14.3414547111,11.3673511861,0.3084372962,0.8550169545,1.2818965782,1.6671785589,1.6592384098,1.3109942921,0.0224987941,0.0638899757,0.072395347,0.0785692378,0.078821976,0.0527690849,2.4086240203,6.6775928241,10.1029490812,13.2567141911,13.2345228426,10.4881720762,0.1596905857,1.2311332442,2.8083786807,4.8041361466,4.7641932008,2.964024134
Two,0.3423015668,0.9542544619,1.4580004534,1.9154970866,1.9044110778,1.4961891347,2.6691692876,7.4271268581,11.3347928328,14.9002765635,14.8523490907,11.7500683748,0.2404379954,0.6763030927,1.037833633,1.3534294327,1.337650514,1.0500171171,0.0352517621,0.0879569999,0.1211056399,0.1446449875,0.1739531963,0.1556533334,2.7125514363,7.5691223232,11.5595732384,15.1736670125,15.1177317624,11.9508719214,0.1171703627,0.910601578,2.125765322,3.6691290887,3.6267815534,2.2385819269
Three,0.2970251832,0.8223970427,1.2282880792,1.5897926105,1.5781877404,1.2487498444,2.989930986,8.2577343526,12.328669873,15.9379485074,15.8353411346,12.5875427848,0.2270061266,0.6295036334,0.9416682326,1.2174125456,1.2056641986,0.9502475068,0.0382270846,0.0963931831,0.1831459445,0.2859209349,0.2469222773,0.1391692675,2.866648538,7.9165490889,11.8377039187,15.3322849909,15.2382751429,12.1027519585,0.0882239594,0.6763368959,1.5086916055,2.5274405443,2.4906765438,1.5593761739
Three,0.3046960543,0.8505490086,1.2063145074,1.4898003213,1.4717507076,1.1671147381,2.9431252908,8.1536883756,12.1530916208,15.6757623058,15.6028931849,12.4047262973,0.1802885621,0.4998680939,0.7359135708,0.9620137448,0.9628762698,0.7578098631,0.0595083886,0.1585475842,0.2119768199,0.1872037558,0.1832082492,0.1369968048,2.9018916343,8.0363729998,11.9014232372,15.2852394052,15.2010706407,12.0954230765,0.0928396855,0.7234336161,1.4551946907,2.2195049974,2.1660501452,1.362156812
Three,0.4659726161,1.3056358614,1.6334334554,1.7653606091,1.725938587,1.4062360787,3.1361589503,8.675484564,12.6407532675,15.9204799366,15.8461106154,12.7563510542,0.3605929058,1.0097330411,1.2759436141,1.4147141289,1.3645442631,1.1322648872,0.3506281726,0.9846920132,1.0325193933,0.7446127745,1.0852889503,0.6608136352,3.1543236646,8.7181578162,12.2634767454,15.0711792496,15.1998594234,12.0877127019,0.2171304789,1.7046850026,2.6681048533,3.1164980803,2.9788640062,1.9774999091
Three,0.3995494368,1.0935555441,1.4729605369,1.7028271784,1.6375635147,1.3016682158,3.0097373829,8.2922493695,12.40872635,16.1362429035,16.1169077249,12.8361692964,0.3140519205,0.8597048802,1.1548038588,1.2900603015,1.2088253971,0.9634885449,0.0984212733,0.2395126352,0.160068456,0.6850560251,0.7424046035,0.6107021524,2.80139707,7.717591309,11.5039898022,15.296644071,15.4204568496,12.2703401933,0.1596397524,1.1958637281,2.1696127433,2.8996203995,2.6816142646,1.6943401439
Three,0.3251173525,0.9035417067,1.2965274055,1.6165238297,1.5887183308,1.2468648875,3.1216856135,8.6409775662,12.7897235331,16.2661217986,16.0493867827,12.7151468537,0.2739927286,0.7537871864,1.0355458044,1.2044634215,1.1623334933,0.9301089365,0.0851866413,0.2340583162,0.1771092611,0.2266286094,0.3061983027,0.2409828753,2.9627886295,8.2089216961,12.1560410911,15.557515073,15.4058655168,12.1895279845,0.1057012929,0.8163876157,1.6809833132,2.6131492921,2.5240259347,1.5546720477
Four,0.2866890172,0.7926264236,1.1798422595,1.5191250349,1.5046209573,1.185797917,3.0546196712,8.417307623,12.5406713306,16.1569334049,16.020320681,12.7113136458,0.1891861176,0.5232116914,0.7813288788,1.0084018932,0.9986045397,0.7854369714,0.0253886434,0.0658984011,0.0757071453,0.0561646246,0.0492900704,0.0521687699,2.9495850678,8.1205934492,12.109286325,15.6161077486,15.4868065622,12.2767972138,0.0821905926,0.6282566474,1.3920277572,2.3077408718,2.2638842251,1.4061166999
Four,0.2523364874,0.6942513063,1.023561483,1.3158341137,1.3095717892,1.0416634224,2.9298994166,8.0983900633,12.1856635393,15.892966326,15.9297570834,12.7543047911,0.1586673791,0.4363731648,0.6201936,0.7673194568,0.7607593179,0.6002080457,0.0699981335,0.1866349678,0.2360436856,0.2136685607,0.2307417836,0.1502662859,2.8878350834,7.9873382334,12.0376308435,15.7054507796,15.7332023672,12.601280588,0.0636737029,0.4819848763,1.0476781095,1.7314194147,1.714978271,1.0850626855
Four,0.3087549278,0.8572099085,1.1596152145,1.3730705465,1.3569654696,1.0848445602,2.9703154883,8.1967193084,12.2764968239,15.9873106014,16.0459938619,12.8582623849,0.2555822903,0.7080196972,0.9226570323,1.0199793325,0.9921970398,0.7927306293,0.2124409455,0.5978235547,0.6785111874,0.6582870837,0.5956142177,0.4900229383,2.9173896928,8.0307744677,12.0541746041,15.6621369618,15.7422287576,12.5960143295,0.0953296054,0.7348088272,1.3447074458,1.8853227256,1.8413552856,1.1768877197
Four,0.3085381886,0.8474699233,1.1738360197,1.4279438637,1.4141006024,1.124097301,3.0313824022,8.3881775311,12.3960263102,15.9422974363,15.9999723908,12.8070483257,0.2336812358,0.640152083,0.8617545503,0.9810078904,0.9412071872,0.7440573688,0.1617315544,0.4452215059,0.611624438,0.5584620265,0.482496368,0.3666812937,2.9565143503,8.1986456217,12.1997914259,15.7822632392,15.8582313716,12.6906398667,0.0951958138,0.7182052709,1.3778910012,2.0390236778,1.9996805136,1.2635947422
Five,0.3056848324,0.834979689,1.2617208092,1.6661836629,1.661569723,1.3147736615,2.9085036584,7.9196014232,12.0089504464,15.8360500729,15.7888046196,12.5531961305,0.2342204716,0.6383985099,0.9401853633,1.2111062909,1.2037181961,0.955102967,0.1269914317,0.3323394961,0.4391449858,0.4770301489,0.4502571373,0.3420507428,2.8165859534,7.6651586679,11.6539414059,15.4172962629,15.3836712146,12.2433450901,0.0934432168,0.697191081,1.5919394004,2.7761679985,2.7608139443,1.7286297811
